epoch,train_acc,val_acc,gap,val_loss,lr
1,0.3436,0.5511,-0.2075,1.9623,1.00e-03
2,0.5210,0.5940,-0.0730,1.8043,9.94e-04
3,0.5719,0.6227,-0.0507,1.7416,9.76e-04
4,0.5964,0.6310,-0.0346,1.6901,9.46e-04
5,0.6214,0.6668,-0.0454,1.6301,9.05e-04
6,0.6289,0.6672,-0.0383,1.6056,8.54e-04
7,0.6424,0.6736,-0.0312,1.6192,7.94e-04
8,0.6500,0.6692,-0.0192,1.6149,7.27e-04
9,0.6636,0.6875,-0.0239,1.5612,6.55e-04
10,0.6692,0.6835,-0.0143,1.5596,5.79e-04
11,0.6815,0.6978,-0.0163,1.5423,5.01e-04
12,0.6892,0.6855,+0.0037,1.5491,4.22e-04
13,0.6882,0.6954,-0.0072,1.5235,3.46e-04
14,0.6924,0.7018,-0.0094,1.5226,2.74e-04
15,0.7027,0.7014,+0.0014,1.5186,2.07e-04
16,0.7129,0.7026,+0.0103,1.5175,1.47e-04
17,0.7113,0.7105,+0.0007,1.5015,9.64e-05
18,0.7157,0.7054,+0.0103,1.5065,5.54e-05
19,0.7191,0.7121,+0.0070,1.4923,2.54e-05
20,0.7160,0.7093,+0.0067,1.5032,7.15e-06
